港澳台,#genre#
凤凰卫视中文台,http://1.62.64.252/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pcc72.flv 
凤凰卫视资讯台,http://1.62.64.252/1.v.smtcdns.net/qctv.fengshows.cn/live/0701pin72.flv 
凤凰香港台,http://1.62.64.252/1.v.smtcdns.net/qctv.fengshows.cn/live/0701phk72.flv 
TVB翡翠台,http://ali.hlspull.yximgs.com/live/haioufeicui.flv 
财经资讯台开码,http://ali.hlspull.yximgs.com/live/tvbGDKDa5522145a9825l300-1313165687665.flv 
无线新闻台,http://ali.hlspull.yximgs.com/live/wuxianxwt54875a9825l300-1313165687665.flv 
TVB亚洲武侠,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8 
TVB星河,http://ali.hlspull.yximgs.com/live/xingheguoyu3a8822l300557-1313165687665.flv 
TVB明珠台,http://ali.hlspull.yximgs.com/live/sgAKDsj5a9825l300-1313165687665.flv 
TVBS,http://ali.hlspull.yximgs.com/live/tvbsmytv444477885-1313165687665.flv 
TVBS新闻,http://ali.hlspull.yximgs.com/live/tbbbst885231889-1313165687665.flv 
TVB J2,http://ali.hlspull.yximgs.com/live/tvbjjjj2t5a9825l300-1313165687665.flv 
TVB娱乐新闻台,http://ali.hlspull.yximgs.com/live/hualifct21875a9825l300-1313165687665.flv 
美亚电影台,http://ali.hlspull.yximgs.com/live/mydyt5a9825l300-1313165687665.flv 
Viu TV,http://ali.hlspull.yximgs.com/live/ViuTVCHt5a9825l300-1313165687665.flv 
天映频道,http://ali.hlspull.yximgs.com/live/tianyingpd5a9825l300-1313165687665.flv 
CCM,http://ali.hlspull.yximgs.com/live/tianyingjingdiant35a9825l300-1313165687665.flv 
香港33台,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream03/streamPlaylist.m3u8 
香港34台,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream05/streamPlaylist.m3u8 
香港35台,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream05/streamPlaylist.m3u8 
CINEMAX,http://ali.hlspull.yximgs.com/live/cinemax_twnt5a9825l300-1313165687665.flv 
AXN,http://ali.hlspull.yximgs.com/live/axn264t5a9825l300-1313165687665.flv 
Thrill,http://ali.hlspull.yximgs.com/live/ThrillH264t5a9825l300-1313165687665.flv 
民视新闻,http://ali.hlspull.yximgs.com/live/msxwtbbbst885231889-1313165687665.flv 
中视新闻,http://ali.hlspull.yximgs.com/live/abc888445889889-1313165687665.flv 
台视新闻,http://ali.hlspull.yximgs.com/live/taishi88822378889-1313165687665.flv 
寰宇新闻,http://ali.hlspull.yximgs.com/live/hyxwtbbbst885231889-1313165687665.flv 
中天新闻,http://ali.hlspull.yximgs.com/live/ztxw3a8822l300041522-9936985222000887888-1313165687665.flv 
东森新闻,http://ali.hlspull.yximgs.com/live/dsxwtbbbst885231889-1313165687665.flv 
NOW新闻台,http://ali.hlspull.yximgs.com/live/nowxwrrrt5a9825l300-1313165687665.flv 
NOW财经台,http://ali.hlspull.yximgs.com/live/nowcjjjjt5a9825l300-1313165687665.flv 
NOW星影台,http://ali.hlspull.yximgs.com/live/nowxyyty5a9825l300-1313165687665.flv 
NOW爆谷台,http://ali.hlspull.yximgs.com/live/nowbggtl5a9825l300-1313165687665.flv 
NOWsports,http://ali.hlspull.yximgs.com/live/nowyct5a9825l300-1313165687665.flv 
民视,http://ali.hlspull.yximgs.com/live/minshit5a9825l300-1313165687665.flv 
中视,http://ali.hlspull.yximgs.com/live/zhongshit5a9825l300-1313165687665.flv 
华视,http://ali.hlspull.yximgs.com/live/huahsit5a9825l300-1313165687665.flv 
台视,http://ali.hlspull.yximgs.com/live/taishit5a9825l300-1313165687665.flv 
公视,http://ali.hlspull.yximgs.com/live/ctv_taiwant5a9825l300-1313165687665.flv 
台视综合,http://ali.hlspull.yximgs.com/live/ttvzhonghet5a9825l300-1313165687665.flv 
民视台湾台,http://ali.hlspull.yximgs.com/live/xftvtaiwan_twnt5a9825l300-1313165687665.flv 
华视新闻,http://223.71.206.22:30080/TW/hsxw/hls.m3u8 
三立综合台,http://ali.hlspull.yximgs.com/live/sanlizhonghet5a9825l300-1313165687665.flv 
三立台湾台,http://ali.hlspull.yximgs.com/live/sanlitaiwant5a9825l300-1313165687665.flv 
三立都会台,http://ali.hlspull.yximgs.com/live/sanlidouhui_twnt5a9825l300-1313165687665.flv 
八大综合台,http://ali.hlspull.yximgs.com/live/badazhonghet5a9825l300-1313165687665.flv 
东森超视,http://ali.hlspull.yximgs.com/live/ettvsupet5a9825l300-1313165687665.flv 
爱尔达综合,http://ali.hlspull.yximgs.com/live/eltazonghet5a9825l300-1313165687665.flv 
中天亚洲台,http://ali.hlspull.yximgs.com/live/ctiasia_twnt5a9825l300-1313165687665.flv 
中天综合台,http://ali.hlspull.yximgs.com/live/ctizhonghet5a9825l300-1313165687665.flv 
中天娱乐台,http://ali.hlspull.yximgs.com/live/ctientt5a9825l300-1313165687665.flv 
东森电影台,http://ali.hlspull.yximgs.com/live/ettvmoviet5a9825l300-1313165687665.flv 
东森洋片台,http://ali.hlspull.yximgs.com/live/ettvwesternt5a9825l300-1313165687665.flv 
龙祥时代,http://ali.hlspull.yximgs.com/live/jixian88877845212003255898251300-1313165687665.flv 
纬来电影台,http://ali.hlspull.yximgs.com/live/weilaidyt5a9825l300-1313165687665.flv 
HBO,http://ali.hlspull.yximgs.com/live/hbohead_twnt5a9825l300-1313165687665.flv 
阿里郎 Arirang,http://50.7.238.114:8278/arirang_twn/playlist.m3u8?tid=MF5F3988861839888618&ct=19249&tsum=781d490a6abe9f48f5b93e211cbe0307 
tvbs新闻,http://165.1.79.200:9000/live.m3u8?c=67 
环球新闻,http://165.1.79.200:9000/live.m3u8?c=68 
番薯音乐,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8 
重温经典,http://httplive.slave.bfgd.com.cn:14311/playurl?playtype=live&protocol=http&accesstoken=R5F2408FEU3198804BK78052214IE73560DFP2BF4M340CE68V0Z339CBW1626D4D261E46FEA&playtoken=ABCDEFGH&programid=4200000635 
中国环球电视,http://live.cgtn.com/500/prog_index.m3u8 
环球电视台,http://zb.xzxwhcb.com:9999/hls/world.m3u8 
台湾番薯台,https://epg.pw/stream/51cb56342f39e6110b315b4d3c3391ef7b96e4b8cb91bd1e0670393a6da2755f.m3u8 
好消息,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch1-2.m3u8 
GOODTV好医生,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch9-2.m3u8 
GOODTV旅行,https://dqhxk7sbp7xog.cloudfront.net/hls-live/goodtv/_definst_/liveevent/live-ch11-2.m3u8 
香港電台(RTHK 34),https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8 
耀才财经,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8 
CGNTV1,http://live.cgtn.com/1000/prog_index.m3u8 
CGNTV3,http://livees.cgtn.com/1000e/prog_index.m3u8 
CGNTV5,https://livedoc.cgtn.com/500d/prog_index.m3u8 
港台電視33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8 
港台電視34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8 
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8 
TVB 亚洲武侠台,http://v2h.jdshipin.com/asia_action/asia_action.stream/chunklist.m3u8 

CNA新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8 
BBC新闻,http://tv.balkanweb.com:8081/news24/livestream/playlist.m3u8 
CNN新闻,http://livees.cgtn.com/500e/prog_index.m3u8 
半岛新闻,https://live-hls-web-aje.getaj.net/AJE/01.m3u8 
秋月剪水,http://huanqiuzhibo.cn/manifest/douyu.php?id=9588891 
海峡两岸,http://hls.cntv.myhwcdn.cn/asp/hls/1200/0303000a/3/default/93dafada4e35457788319f02f5063529/1200.m3u8 
香港佛陀,https://js1.amtb.cn/liveedge/_definst_/livetv/playlist.m3u8 
香港麵包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8 

澳门2,http://61.244.22.5/ch2/ch2.live/chunklist.m3u8 
FashionTV,http://lb.streaming.sk/fashiontv/stream/chunklist_w1402273512.m3u8 
美·NASA Public Channel,https://ntv1.akamaized.net/hls/live/2014075/NASA-NTV1-HLS/master_2000.m3u8 
UniverTV,http://cdn.universmotri.ru/live/hq.sdp/chunklist_w1792531.m3u8 
